RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,label
840.5128,804.65204,810.293,835.6777,Neutral
815.12823,795.38464,817.1429,824.3956,Neutral
827.2161,802.6374,812.3077,843.3333,Neutral
840.9158,792.1612,828.022,836.4835,Neutral
827.2161,805.8608,819.15753,841.7216,Neutral
822.381,796.99634,818.3516,837.6923,Neutral
838.0952,796.99634,808.2784,835.2747,Neutral
825.2015,800.2198,816.7399,818.3516,Neutral
829.2308,794.9817,810.293,815.5311,Neutral
826.4103,801.4286,808.68134,832.4542,Neutral
826.4103,801.02563,814.7253,832.0513,Neutral
815.12823,799.011,815.12823,826.0073,Neutral
838.49817,802.23444,789.34064,827.2161,Neutral
810.293,787.326,808.2784,813.1135,Neutral
824.7985,798.60803,815.12823,821.5751,Neutral
811.50183,803.44324,820.7692,810.696,Neutral
812.71063,803.8461,806.6667,794.17584,Neutral
808.2784,799.011,803.44324,811.9048,Neutral
798.20514,794.17584,804.2491,810.293,Neutral
841.7216,789.7436,803.44324,825.6044,Neutral
811.0989,805.8608,806.26373,814.7253,Neutral
835.2747,804.65204,798.60803,840.10986,Neutral
804.65204,799.011,815.12823,819.15753,Neutral
810.293,798.60803,819.5604,815.5311,Neutral
829.6337,796.1905,814.7253,817.1429,Neutral
806.6667,799.81683,812.3077,817.9487,Neutral
827.619,796.5934,815.5311,809.89014,Neutral
825.6044,792.5641,817.5458,838.0952,Neutral
807.47253,794.57874,810.293,806.26373,Neutral
827.619,800.2198,810.293,813.5165,Neutral
796.99634,787.72894,802.6374,817.5458,Neutral
826.4103,803.8461,807.47253,817.9487,Neutral
811.50183,805.8608,817.9487,815.5311,Neutral
904.9817,778.86444,777.25275,790.9524,Neutral
771.6117,803.8461,778.46155,778.0586,Neutral
862.674,826.0073,783.69965,769.59705,Neutral
787.72894,798.60803,783.2967,770.80585,Neutral
667.25275,792.5641,792.1612,750.2564,Neutral
718.022,785.7143,788.93774,752.674,Neutral
809.4872,784.10254,778.86444,774.0293,Neutral
764.7619,780.87915,788.1319,766.77655,Neutral
865.89746,797.8022,791.3553,790.9524,Neutral
912.23444,784.10254,789.34064,802.6374,Neutral
712.381,793.7729,798.20514,774.0293,Neutral
867.1062,785.7143,790.9524,782.0879,Neutral
741.79486,792.5641,790.14655,768.7912,Neutral
844.1392,784.5055,788.93774,790.54944,Neutral
701.0989,792.5641,792.96704,755.09155,Neutral
803.0403,790.54944,792.1612,783.2967,Neutral
836.4835,797.3993,801.8315,772.8205,Neutral
701.0989,782.49084,789.34064,770.0,Neutral
836.4835,795.38464,794.17584,786.1172,Neutral
754.68866,794.17584,796.99634,784.90845,Neutral
875.16486,798.60803,800.2198,808.68134,Neutral
882.8205,790.9524,803.0403,817.9487,Neutral
719.2308,791.75824,804.65204,765.9707,Neutral
724.87177,807.8755,797.8022,773.22345,Neutral
726.8865,795.38464,794.9817,770.0,Neutral
839.304,796.1905,792.5641,799.41394,Neutral
828.022,796.5934,794.9817,782.8938,Neutral
861.8681,789.7436,796.1905,791.3553,Neutral
864.68866,804.65204,799.41394,797.3993,Neutral
755.09155,795.78754,795.78754,784.90845,Neutral
840.10986,795.78754,796.1905,805.05493,Neutral
768.7912,795.78754,800.6227,782.0879,Neutral
876.3736,787.72894,792.5641,802.23444,Neutral
737.76556,806.26373,798.20514,784.5055,Neutral
734.5421,792.5641,788.93774,754.2857,Neutral
831.2454,790.14655,797.3993,789.34064,Neutral
718.4249,788.1319,790.14655,776.04395,Neutral
895.31134,790.54944,798.60803,829.6337,Neutral
857.4359,800.6227,800.6227,802.6374,Neutral
892.0879,792.96704,789.34064,814.3223,Neutral
838.0952,792.96704,798.60803,798.60803,Neutral
743.4066,799.011,808.2784,783.2967,Neutral
741.79486,798.60803,801.8315,778.46155,Neutral
765.16486,793.7729,805.4579,762.74725,Neutral
776.8498,796.1905,788.93774,776.04395,Neutral
830.84247,798.20514,799.81683,794.9817,Neutral
750.65936,800.6227,797.3993,784.10254,Neutral
821.1722,789.34064,797.8022,788.93774,Neutral
740.58606,796.1905,803.44324,786.52014,Neutral
853.4066,795.38464,799.81683,812.3077,Neutral
849.7802,797.8022,801.8315,810.293,Neutral
737.76556,803.0403,798.60803,784.90845,Neutral
796.99634,806.6667,801.02563,783.2967,Neutral
811.50183,805.8608,808.68134,795.38464,Neutral
903.7729,809.89014,801.02563,820.7692,Neutral
868.315,731.31866,850.18317,949.707,Neutral
1066.9597,802.6374,811.9048,909.41394,Neutral
753.0769,788.5348,808.68134,799.81683,Neutral
925.5311,797.8022,819.9634,874.7619,Neutral
1051.6483,799.81683,811.9048,894.10254,Neutral
617.28937,798.60803,804.2491,704.3223,Neutral
811.50183,790.54944,808.68134,778.46155,Neutral
679.34064,794.17584,805.4579,736.9597,Neutral
594.7253,795.38464,807.0696,710.7692,Neutral
979.92676,795.38464,807.0696,873.95605,Neutral
683.36993,788.5348,802.23444,771.2088,Neutral
614.4689,793.36993,807.47253,731.7216,Neutral
616.08057,793.36993,795.38464,732.9304,Neutral
