RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,label
816.7399,801.02563,805.4579,803.44324,Negativ
806.26373,809.4872,783.69965,796.1905,Negativ
822.7839,807.8755,788.1319,786.52014,Negativ
808.2784,807.47253,801.4286,801.4286,Negativ
774.43225,800.2198,790.9524,803.44324,Negativ
792.96704,804.65204,790.9524,803.8461,Negativ
817.1429,801.4286,786.9231,807.0696,Negativ
801.4286,800.6227,796.5934,836.08057,Negativ
782.0879,807.0696,788.93774,799.81683,Negativ
763.95605,805.8608,805.4579,790.54944,Negativ
820.3663,812.3077,803.8461,807.8755,Negativ
778.0586,794.17584,796.99634,796.1905,Negativ
828.022,805.4579,809.0842,828.022,Negativ
770.40295,800.6227,793.7729,799.81683,Negativ
851.39197,803.0403,795.78754,813.5165,Negativ
828.022,807.47253,794.57874,795.38464,Negativ
816.7399,795.38464,759.92676,852.6007,Negativ
779.2674,808.68134,797.3993,812.71063,Negativ
819.15753,815.12823,794.9817,807.8755,Negativ
832.0513,809.0842,788.5348,805.8608,Negativ
787.326,809.4872,792.5641,806.6667,Negativ
809.0842,800.2198,790.14655,799.41394,Negativ
841.31866,812.71063,794.57874,804.2491,Negativ
888.86444,799.41394,757.50916,854.61536,Negativ
799.011,802.23444,784.90845,786.52014,Negativ
814.7253,807.0696,798.60803,801.4286,Negativ
796.5934,805.4579,789.7436,821.1722,Negativ
829.2308,809.0842,790.54944,800.2198,Negativ
812.3077,814.3223,792.1612,810.293,Negativ
803.44324,810.696,806.6667,813.1135,Negativ
788.1319,797.3993,794.57874,793.36993,Negativ
815.5311,815.12823,807.47253,812.71063,Negativ
792.1612,800.6227,800.2198,795.78754,Negativ
804.65204,803.8461,795.38464,792.1612,Negativ
806.26373,794.9817,798.60803,813.1135,Negativ
820.7692,806.26373,797.8022,828.022,Negativ
769.59705,811.0989,797.3993,813.1135,Negativ
784.5055,813.5165,800.2198,816.337,Negativ
774.0293,798.20514,797.8022,801.4286,Negativ
820.7692,809.0842,785.31134,834.0659,Negativ
786.52014,811.50183,797.8022,804.2491,Negativ
746.2271,808.2784,826.4103,745.42126,Negativ
815.5311,811.9048,798.20514,806.6667,Negativ
804.65204,798.20514,790.9524,799.011,Negativ
785.31134,794.17584,786.52014,794.17584,Negativ
803.0403,801.8315,791.3553,839.707,Negativ
801.4286,801.4286,796.5934,799.011,Negativ
796.5934,800.6227,796.99634,803.44324,Negativ
698.2784,818.3516,815.5311,716.4103,Negativ
792.5641,796.1905,789.7436,796.5934,Negativ
792.1612,817.1429,797.8022,792.5641,Negativ
803.0403,805.8608,793.36993,803.8461,Negativ
800.2198,799.81683,790.9524,797.8022,Negativ
803.0403,808.2784,797.8022,792.96704,Negativ
795.78754,809.89014,786.9231,801.8315,Negativ
829.6337,797.3993,809.0842,821.978,Negativ
857.4359,806.26373,791.75824,816.7399,Negativ
794.17584,809.89014,794.57874,795.78754,Negativ
751.06226,802.6374,793.7729,815.5311,Negativ
819.15753,808.68134,786.52014,815.12823,Negativ
772.01465,810.293,796.99634,787.72894,Negativ
790.14655,815.12823,803.44324,811.0989,Negativ
759.92676,805.05493,797.3993,809.0842,Negativ
810.696,804.2491,802.6374,807.0696,Negativ
780.87915,808.2784,796.99634,807.0696,Negativ
800.6227,800.2198,752.27106,831.2454,Negativ
812.71063,808.2784,815.5311,807.47253,Negativ
819.15753,806.6667,793.7729,817.1429,Negativ
848.97437,806.6667,807.0696,813.5165,Negativ
800.6227,807.0696,799.81683,791.3553,Negativ
847.3626,797.3993,804.2491,802.23444,Negativ
761.9414,806.26373,795.38464,801.4286,Negativ
801.8315,806.26373,793.7729,806.26373,Negativ
799.81683,802.23444,810.696,803.44324,Negativ
796.5934,794.17584,786.9231,815.9341,Negativ
798.60803,805.8608,800.2198,784.90845,Negativ
810.293,809.89014,803.44324,810.696,Negativ
786.52014,815.5311,789.7436,801.02563,Negativ
765.56775,794.17584,792.5641,799.011,Negativ
800.2198,811.9048,801.4286,812.71063,Negativ
825.2015,815.9341,804.65204,812.3077,Negativ
826.8132,800.6227,810.293,795.38464,Negativ
772.4176,807.8755,793.7729,815.5311,Negativ
823.5897,801.4286,783.2967,803.8461,Negativ
828.8278,809.4872,789.7436,797.3993,Negativ
782.8938,805.8608,798.20514,812.71063,Negativ
774.0293,799.81683,796.5934,804.2491,Negativ
711.5751,792.5641,860.2564,739.3773,Negativ
807.0696,803.44324,796.99634,813.1135,Negativ
791.75824,804.65204,799.81683,796.99634,Negativ
854.21246,804.65204,796.5934,832.8571,Negativ
850.18317,808.2784,798.60803,815.9341,Negativ
837.6923,816.7399,811.0989,811.0989,Negativ
858.24176,815.12823,803.44324,812.71063,Negativ
793.7729,806.26373,809.0842,819.9634,Negativ
821.5751,803.0403,796.99634,807.8755,Negativ
825.6044,801.8315,792.96704,815.12823,Negativ
811.50183,811.9048,805.4579,826.0073,Negativ
792.5641,808.68134,798.20514,836.08057,Negativ
796.1905,803.0403,792.96704,796.99634,Negativ
658.3883,814.7253,855.0183,674.10254,Negativ
782.0879,798.20514,789.7436,799.81683,Negativ
785.7143,815.12823,810.293,796.99634,Negativ
812.3077,803.0403,797.8022,822.381,Negativ
821.1722,805.4579,789.7436,801.8315,Negativ
761.13556,801.02563,821.5751,767.1795,Negativ
828.4249,808.68134,807.0696,806.6667,Negativ
807.8755,799.41394,801.02563,804.2491,Negativ
755.09155,802.6374,795.78754,815.12823,Negativ
702.71063,807.0696,797.8022,795.78754,Negativ
622.52747,810.293,791.3553,788.5348,Negativ
770.0,805.05493,786.9231,815.12823,Negativ
728.49817,797.8022,791.3553,803.0403,Negativ
834.0659,813.1135,801.02563,795.78754,Negativ
826.0073,802.6374,795.78754,821.978,Negativ
886.4469,809.4872,805.05493,823.5897,Negativ
792.5641,812.3077,794.9817,826.4103,Negativ
806.6667,801.8315,792.96704,810.696,Negativ
854.21246,811.9048,797.3993,816.7399,Negativ
871.9414,798.60803,760.7326,849.3773,Negativ
805.8608,809.0842,807.8755,819.15753,Negativ
810.696,794.9817,765.56775,860.65936,Negativ
933.9927,799.81683,806.26373,814.7253,Negativ
778.86444,804.65204,792.1612,804.2491,Negativ
810.293,795.38464,790.9524,792.5641,Negativ
788.5348,798.60803,802.6374,815.5311,Negativ
823.5897,798.20514,765.9707,823.9927,Negativ
838.0952,802.6374,804.2491,801.4286,Negativ
915.8608,813.5165,794.9817,826.4103,Negativ
842.1245,803.44324,794.17584,815.12823,Negativ
804.2491,805.8608,795.78754,802.23444,Negativ
757.9121,803.44324,799.41394,809.4872,Negativ
767.98535,809.4872,799.41394,794.57874,Negativ
821.1722,806.6667,783.2967,830.0366,Negativ
730.5128,804.65204,792.96704,805.4579,Negativ
722.4542,812.71063,801.4286,797.8022,Negativ
735.34796,810.696,778.0586,789.7436,Negativ
736.55676,811.9048,797.8022,793.7729,Negativ
740.18317,796.1905,797.8022,791.3553,Negativ
693.0403,805.4579,807.0696,812.3077,Negativ
898.1319,811.50183,793.36993,792.5641,Negativ
768.3883,796.99634,788.93774,807.47253,Negativ
853.00366,807.8755,798.60803,817.1429,Negativ
717.619,803.0403,796.1905,801.02563,Negativ
899.7436,810.293,796.5934,807.47253,Negativ
761.13556,800.6227,802.6374,802.23444,Negativ
780.4762,805.4579,795.78754,791.3553,Negativ
688.60803,823.5897,803.44324,805.05493,Negativ
804.65204,812.3077,783.2967,824.3956,Negativ
726.4835,810.293,808.68134,822.381,Negativ
859.85345,808.2784,797.3993,820.7692,Negativ
908.60803,825.6044,801.4286,805.8608,Negativ
841.7216,813.1135,803.44324,815.12823,Negativ
788.1319,813.1135,799.011,814.3223,Negativ
892.49084,809.0842,791.3553,799.81683,Negativ
729.304,801.8315,791.75824,799.41394,Negativ
670.4762,809.89014,797.3993,803.44324,Negativ
672.8938,807.0696,797.8022,793.36993,Negativ
817.9487,807.0696,799.81683,796.99634,Negativ
920.696,803.8461,808.2784,794.9817,Negativ
861.8681,803.8461,800.6227,799.41394,Negativ
736.9597,801.8315,805.4579,824.3956,Negativ
651.13556,809.4872,774.0293,855.0183,Negativ
775.2381,800.6227,797.8022,812.3077,Negativ
832.0513,797.8022,796.99634,792.96704,Negativ
873.5531,802.6374,796.1905,788.1319,Negativ
823.5897,806.26373,805.4579,802.23444,Negativ
790.54944,805.8608,808.68134,805.4579,Negativ
747.03296,805.4579,802.6374,824.7985,Negativ
889.2674,798.60803,795.38464,813.1135,Negativ
755.09155,811.9048,792.5641,814.7253,Negativ
715.6044,815.9341,782.8938,793.36993,Negativ
966.63007,811.50183,796.5934,791.75824,Negativ
732.1245,804.65204,801.8315,794.9817,Negativ
743.8095,804.2491,799.011,801.4286,Negativ
808.2784,807.0696,790.9524,815.9341,Negativ
843.3333,801.02563,806.26373,820.7692,Negativ
883.22345,810.293,794.57874,798.60803,Negativ
654.7619,797.3993,797.3993,797.3993,Negativ
815.9341,805.05493,807.8755,803.8461,Negativ
803.0403,799.81683,795.38464,801.8315,Negativ
799.41394,814.7253,798.20514,814.7253,Negativ
909.81683,799.81683,801.4286,832.8571,Negativ
809.0842,803.0403,798.20514,813.5165,Negativ
811.9048,810.293,799.011,807.47253,Negativ
786.52014,799.011,791.75824,797.8022,Negativ
595.9341,806.6667,799.011,809.4872,Negativ
756.7033,796.99634,789.34064,800.6227,Negativ
805.05493,810.696,795.38464,807.0696,Negativ
778.46155,805.4579,796.99634,801.02563,Negativ
819.15753,805.4579,803.0403,822.381,Negativ
762.74725,803.8461,786.52014,801.8315,Negativ
711.5751,803.44324,807.8755,801.02563,Negativ
740.58606,803.0403,804.65204,816.7399,Negativ
846.1539,791.3553,810.696,804.2491,Negativ
813.91943,819.5604,777.6557,851.39197,Negativ
848.97437,808.2784,784.5055,794.9817,Negativ
843.3333,807.8755,810.696,813.5165,Negativ
900.14655,806.26373,803.8461,793.7729,Negativ
826.0073,805.05493,801.02563,792.1612,Negativ
803.8461,792.96704,785.7143,810.696,Negativ
780.87915,802.23444,804.2491,801.02563,Negativ
874.7619,813.91943,802.23444,821.1722,Negativ
759.92676,805.8608,803.8461,810.293,Negativ
855.0183,810.293,784.90845,805.4579,Negativ
790.9524,805.4579,798.20514,808.68134,Negativ
750.2564,797.8022,815.12823,757.50916,Negativ
903.7729,809.0842,795.38464,765.9707,Negativ
755.4945,815.5311,795.78754,817.1429,Negativ
790.14655,806.26373,807.0696,807.47253,Negativ
749.45056,807.47253,806.26373,815.12823,Negativ
832.0513,800.6227,803.0403,794.9817,Negativ
698.68134,804.2491,803.8461,806.6667,Negativ
838.49817,810.696,801.4286,785.7143,Negativ
614.87177,810.696,804.2491,801.4286,Negativ
701.9048,793.36993,800.2198,818.7546,Negativ
952.1245,797.8022,799.011,817.5458,Negativ
948.9011,811.50183,806.26373,798.60803,Negativ
845.7509,813.5165,811.9048,810.696,Negativ
834.0659,807.47253,802.23444,799.011,Negativ
845.7509,803.8461,807.8755,816.7399,Negativ
865.09155,795.78754,776.04395,847.76556,Negativ
826.8132,803.8461,799.011,796.1905,Negativ
853.00366,817.9487,776.8498,841.31866,Negativ
840.9158,805.8608,798.60803,798.20514,Negativ
711.5751,803.44324,801.8315,814.7253,Negativ
755.4945,810.293,790.9524,805.4579,Negativ
712.7839,795.38464,793.7729,802.6374,Negativ
755.4945,801.02563,806.6667,812.3077,Negativ
871.13556,805.8608,789.34064,833.663,Negativ
748.24176,801.4286,792.1612,790.14655,Negativ
718.8278,807.8755,797.3993,837.28937,Negativ
733.73627,805.4579,799.41394,802.23444,Negativ
825.2015,809.0842,790.9524,787.72894,Negativ
748.6447,806.26373,803.44324,820.3663,Negativ
724.87177,808.68134,801.02563,809.89014,Negativ
